Designator,Description,Center-X(mm),Center-Y(mm),Value
"D34","","53.7","108",""
"D35","","77.7","108",""
"D36","","101.7","108",""
"D37","","125.7","108",""
"D38","","149.7","108",""
"D39","","173.7","108",""
"D40","","197.7","108",""
"D41","","29.7","84",""
"D42","","53.7","84",""
"D43","","77.7","84",""
"D44","","101.7","84",""
"D45","","125.7","84",""
"D46","","149.7","84",""
"D47","","173.7","84",""
"D48","","197.7","84",""
"D49","","29.7","60",""
"D50","","53.7","60",""
"D51","","77.7","60",""
"D52","","101.7","60",""
"D53","","125.7","60",""
"D54","","149.7","60",""
"D55","","173.7","60",""
"D56","","197.7","60",""
"D57","","29.7","36",""
"D58","","53.7","36",""
"D59","","77.7","36",""
"D60","","101.7","36",""
"D61","","125.7","36",""
"D62","","149.7","36",""
"D63","","173.7","36",""
"D64","","197.7","36",""
"FN","System","120","120",""
"I2C","System","152.43","218",""
"LED1","3535","36","204",""
"LED2","3535","60","204",""
"LED3","3535","84","204",""
"LED4","3535","108","204",""
"LED5","3535","132","204",""
"LED6","3535","156","204",""
"LED7","3535","180","204",""
"LED8","3535","204","204",""
"LED9","3535","36","180",""
"LED10","3535","60","180",""
"LED11","3535","84","180",""
"LED12","3535","108","180",""
"LED13","3535","132","180",""
"LED14","3535","156","180",""
"LED15","3535","180","180",""
"LED16","3535","204","180",""
"LED17","3535","36","156",""
"LED18","3535","60","156",""
"LED19","3535","84","156",""
"LED20","3535","108","156",""
"LED21","3535","132","156",""
"LED22","3535","156","156",""
"LED23","3535","180","156",""
"LED24","3535","204","156",""
"LED25","3535","36","132",""
"LED26","3535","60","132",""
"LED27","3535","84","132",""
"LED28","3535","108","132",""
"LED29","3535","132","132",""
"LED30","3535","156","132",""
"LED31","3535","180","132",""
"LED32","3535","204","132",""
"LED33","3535","36","108",""
"LED34","3535","60","108",""
"LED35","3535","84","108",""
"LED36","3535","108","108",""
"LED37","3535","132","108",""
"LED38","3535","156","108",""
"LED39","3535","180","108",""
"LED40","3535","204","108",""
"LED41","3535","36","84",""
"LED42","3535","60","84",""
"LED43","3535","84","84",""
"LED44","3535","108","84",""
"LED45","3535","132","84",""
"LED46","3535","156","84",""
"LED47","3535","180","84",""
"LED48","3535","204","84",""
"LED49","3535","36","60",""
"LED50","3535","60","60",""
"LED51","3535","84","60",""
"LED52","3535","108","60",""
"LED53","3535","132","60",""
"LED54","3535","156","60",""
"LED55","3535","180","60",""
"LED56","3535","204","60",""
"LED57","3535","36","36",""
"LED58","3535","60","36",""
"LED59","3535","84","36",""
"LED60","3535","108","36",""
"LED61","3535","132","36",""
"LED62","3535","156","36",""
"LED63","3535","180","36",""
"LED64","3535","204","36",""
"MCU","","120","192",""
"PPTC","Fuse","140.596","214.677",""
"R1","Resistor","213","203.9","10K"
"R1","System","118.5","178.5","10K"
"R2","Resistor","213","180.045","10K"
"R2","System","126.492","173.5","10K"
